2022-05-20 13:16:00,548 - INFO - main - Loaded configuration from ./config.toml
2022-05-20 13:16:00,548 - INFO - main - Starting WebSocket Server
2022-05-20 13:16:00,549 - INFO - main - Starting main aruco loop
2022-05-20 13:16:16,613 - DEBUG - main - Marker 11 detected, distance : 2.81
2022-05-20 13:16:16,688 - DEBUG - main - Marker 11 detected, distance : 2.71
2022-05-20 13:16:16,727 - DEBUG - main - Marker 11 detected, distance : 2.79
2022-05-20 13:16:16,772 - DEBUG - main - Marker 11 detected, distance : 2.68
2022-05-20 13:16:16,812 - DEBUG - main - Marker 11 detected, distance : 2.81
2022-05-20 13:16:16,854 - DEBUG - main - Marker 11 detected, distance : 2.81
2022-05-20 13:16:16,903 - DEBUG - main - Marker 11 detected, distance : 2.79
2022-05-20 13:16:16,956 - DEBUG - main - Marker 11 detected, distance : 2.79
2022-05-20 13:16:23,727 - DEBUG - main - Marker 11 detected, distance : 2.81
2022-05-20 13:16:24,098 - DEBUG - main - Marker 11 detected, distance : 2.7
2022-05-20 13:16:24,136 - DEBUG - main - Marker 11 detected, distance : 2.7
2022-05-20 13:16:24,249 - DEBUG - main - Marker 11 detected, distance : 2.59
2022-05-20 13:16:24,468 - DEBUG - main - Marker 11 detected, distance : 2.53
2022-05-20 13:16:24,511 - DEBUG - main - Marker 11 detected, distance : 2.43
2022-05-20 13:16:24,550 - DEBUG - main - Marker 11 detected, distance : 2.53
2022-05-20 13:16:24,754 - DEBUG - main - Marker 11 detected, distance : 2.31
2022-05-20 13:16:24,879 - DEBUG - main - Marker 11 detected, distance : 2.29
2022-05-20 13:16:24,926 - DEBUG - main - Marker 11 detected, distance : 2.29
2022-05-20 13:16:24,964 - DEBUG - main - Marker 11 detected, distance : 2.23
2022-05-20 13:16:24,999 - DEBUG - main - Marker 11 detected, distance : 2.23
2022-05-20 13:16:25,040 - DEBUG - main - Marker 11 detected, distance : 2.15
2022-05-20 13:16:25,070 - DEBUG - main - Marker 11 detected, distance : 2.16
2022-05-20 13:16:25,101 - DEBUG - main - Marker 11 detected, distance : 2.09
2022-05-20 13:16:25,131 - DEBUG - main - Marker 11 detected, distance : 2.05
2022-05-20 13:16:25,160 - DEBUG - main - Marker 11 detected, distance : 2.04
2022-05-20 13:16:25,189 - DEBUG - main - Marker 11 detected, distance : 2.04
2022-05-20 13:16:25,220 - DEBUG - main - Marker 11 detected, distance : 1.98
2022-05-20 13:16:25,248 - DEBUG - main - Marker 11 detected, distance : 1.99
2022-05-20 13:16:25,279 - DEBUG - main - Marker 11 detected, distance : 1.99
